PMI_ID,Action,Success,Error,Last_Modified_Time
P00000124,Create,1,,2019-05-23 16:59:52
P00000140,Create,1,,2019-05-23 16:59:53
P00000147,Create,1,,2019-05-23 16:59:54
P00000148,Create,1,,2019-05-23 16:59:55
P00000149,Create,1,,2019-05-23 16:59:56
P00000150,Create,1,,2019-05-23 16:59:57
P00000152,Create,1,,2019-05-23 16:59:58
P00000153,Create,0,Error message:You're creating a duplicate record. We recommend you use an existing record instead.,2019-05-23 16:59:58
P00000154,Create,1,,2019-05-23 16:59:59
P00000155,Create,1,,2019-05-23 17:00:00
P00000157,Create,1,,2019-05-23 17:00:01
P00000158,Create,1,,2019-05-23 17:00:02
P00000159,Create,1,,2019-05-23 17:00:03
P00000160,Create,1,,2019-05-23 17:00:04
P00000161,Create,1,,2019-05-23 17:00:05
P00000162,Create,1,,2019-05-23 17:00:06
P00000163,Create,1,,2019-05-23 17:00:07
P00000164,Create,1,,2019-05-23 17:00:08
P00000165,Create,1,,2019-05-23 17:00:09
P00000166,Create,1,,2019-05-23 17:00:10
P00000168,Create,1,,2019-05-23 17:00:11
P00000169,Create,1,,2019-05-23 17:00:12
P00000171,Create,1,,2019-05-23 17:00:13
P00000172,Create,1,,2019-05-23 17:00:14
P00000173,Create,1,,2019-05-23 17:00:15
P00000174,Create,1,,2019-05-23 17:00:17
P00000175,Create,1,,2019-05-23 17:00:18
P00000176,Create,1,,2019-05-23 17:00:19
P00000177,Create,1,,2019-05-23 17:00:21
P00000178,Create,1,,2019-05-23 17:00:21
